time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
91,106496,52,1167,255,-0.003919314895756543,0.009321958059445024,300.0,0.08447265625,0.36747077107429504,0.0002,226.19680326000002,0.2,-0.00316010694950819,0.6120513081550598,0.004234394,-25.89853525161743
92,108544,53,1168,260,-0.0025090930284932256,0.008036545966751874,300.0,0.06875,0.3674655556678772,0.0002,228.44897359000004,0.2,3.703683614730835e-05,0.61060631275177,0.00450942,-25.90163164138794
94,110592,54,1168,265,-0.0024275848059915005,0.008486083196476101,300.0,0.0482421875,0.3674064874649048,0.0002,228.43092182,0.2,-0.0004906775429844856,0.5978233218193054,0.0077112587,-25.895308113098146
96,112640,55,1168,270,-0.0059676856035366654,0.007185555924661457,300.0,0.07255859375,0.36743292212486267,0.0002,228.43092182,0.2,-0.0007196045480668545,0.5404493808746338,0.009762887,-25.890631484985352
98,114688,56,1168,275,-0.003964457660913467,0.008902216516435146,300.0,0.044140625,0.36739057302474976,0.0002,228.86503392000003,0.2,0.0014890688471496105,0.5680415630340576,0.0062234784,-25.892502212524413
99,116736,57,1168,280,-0.004286141833290458,0.009131604945287109,300.0,0.051171875,0.36740750074386597,0.0002,228.57960327,0.2,-0.007470978889614344,0.5912618041038513,0.0058591585,-25.886288547515868
101,118784,58,1168,285,-0.0020377570763230324,0.007701750751584769,300.0,0.03564453125,0.36744821071624756,0.0002,228.37193886000006,0.2,-0.0015217391774058342,0.5454146862030029,0.0046608215,-25.894532871246337
103,120832,59,1168,290,-0.003279487090185285,0.0073535598814487456,300.0,0.044140625,0.367467999458313,0.0002,228.84510653,0.2,-0.00043143052607774734,0.5114538669586182,0.004462057,-25.897993946075438
105,122880,60,1168,295,-0.002044891892001033,0.007709569344297051,300.0,0.03740234375,0.36755722761154175,0.0002,228.53263896,0.2,0.0033584926277399063,0.644603967666626,0.0061108693,-25.905716609954833
106,124928,61,1169,300,-0.002713074639905244,0.007736314064823091,300.0,0.02744140625,0.3675455152988434,0.0002,228.54934345,0.2,-0.0045318519696593285,0.6413388252258301,0.0054607866,-25.914948844909667
108,126976,62,1170,305,-0.0020416487939655783,0.00627942259889096,300.0,0.0478515625,0.3674553334712982,0.0002,228.54934345,0.2,-0.007769117131829262,0.5635240077972412,0.0074581793,-25.905279445648194
