time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/loss,train/explained_variance,train/clip_fraction
108544,3834,53,28,0.08929053228348494,232.94203761999995,0.028475320897996426,0.2,0.21005514,0.36783790588378906,0.0002,-25.967068672180176,52,300.0,0.19307512044906616,0.09450012445449829,0.361328125
110592,3839,54,28,0.08828714862465858,232.86481508,0.024998548440635204,0.2,0.2021676,0.36783841252326965,0.0002,-25.9671630859375,53,300.0,0.18865224719047546,-0.1250683069229126,0.3408203125
112640,3839,55,29,0.05296302167698741,232.86481508,0.02892244514077902,0.2,0.08653496,0.36783847212791443,0.0002,-25.967206954956055,54,300.0,0.11889313161373138,0.29834479093551636,0.2783203125
114688,3838,56,29,0.11643392406404018,233.22237920999999,0.030887233093380928,0.2,0.29718515,0.3678390681743622,0.0002,-25.967265129089355,55,300.0,0.24714750051498413,0.18806886672973633,0.392578125
116736,3841,57,30,0.14680027216672897,232.79036794000004,0.0319727323949337,0.2,0.37426734,0.3678390383720398,0.0002,-25.96731662750244,56,300.0,0.30931681394577026,0.018650949001312256,0.439453125
118784,3844,58,30,0.17803465947508812,232.38273604000003,0.02788551151752472,0.2,0.58830327,0.3678390681743622,0.0002,-25.96731662750244,57,300.0,0.3685341775417328,-0.0737605094909668,0.44921875
120832,3843,59,31,0.1329629283864051,232.61494562000004,0.024873187765479088,0.2,0.43224695,0.36783984303474426,0.0002,-25.967378616333008,58,300.0,0.2770766019821167,0.11731022596359253,0.4482421875
122880,3844,60,31,0.2694746239576489,232.15162626,0.024469262920320034,0.2,0.80433124,0.36784061789512634,0.0002,-25.96751117706299,59,300.0,0.5507686138153076,-0.05559587478637695,0.4638671875
124928,3848,61,32,0.2265324853360653,231.95001284999995,0.017503008246421814,0.2,1.1074789,0.36784014105796814,0.0002,-25.96753978729248,60,300.0,0.4608042240142822,-0.0652613639831543,0.484375
126976,3847,62,33,0.21722475439310074,231.95001284999995,0.021256479434669018,0.2,1.1292241,0.36783990263938904,0.0002,-25.96747875213623,61,300.0,0.44408300518989563,0.09299415349960327,0.48046875
129024,3846,63,33,0.1412057438865304,231.95831393,0.02852191124111414,0.2,0.52789974,0.36783939599990845,0.0002,-25.96741485595703,62,300.0,0.2963928282260895,0.04598182439804077,0.4619140625
131072,3851,64,34,0.10800762614235282,232.62006648,0.022361677139997482,0.2,0.46847707,0.36783963441848755,0.0002,-25.967387199401855,63,300.0,0.22690851986408234,-0.08388292789459229,0.4326171875
133120,3850,65,34,0.24544850271195173,231.58756126999998,0.015062136575579643,0.2,1.040776,0.36784109473228455,0.0002,-25.967528343200684,64,300.0,0.49828192591667175,0.027625560760498047,0.45703125
135168,3849,66,35,0.1925446381792426,231.43939265,0.01907996740192175,0.2,0.746783,0.3678419291973114,0.0002,-25.967723846435547,65,300.0,0.3940798342227936,-0.020516633987426758,0.4375
