time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance
196608,96,178,1100,-0.0028523693326860666,0.2,475,225.95287667999997,-25.782592678070067,0.05947265625,0.006962649361230433,0.3667627274990082,300.0,0.007338756,-0.0037844659527763724,0.0002,0.6409494876861572
198656,97,180,1100,-0.007809702306985855,0.2,480,224.77620035,-25.773794174194336,0.05478515625,0.01020655045285821,0.36674463748931885,300.0,0.0043364493,-0.001950405293609947,0.0002,0.5725812911987305
200704,98,182,1100,-0.007827633060514927,0.2,485,226.36943764000003,-25.774072074890135,0.05546875,0.004157835606019944,0.3667382001876831,300.0,0.006056888,-0.0035156303783878684,0.0002,0.6382128000259399
202752,99,184,1097,-0.01504536159336567,0.2,490,226.68687873,-25.77036848068237,0.0546875,0.005753601901233196,0.3667123019695282,300.0,0.005226288,-0.005454921687487513,0.0002,0.5500644445419312
204800,100,186,1098,-0.0030349744483828545,0.2,495,227.24664013999998,-25.75833854675293,0.0380859375,0.009102868335321545,0.3665778338909149,300.0,0.004734068,-0.004515653755515814,0.0002,0.5753506422042847
206848,101,188,1098,0.00133943697437644,0.2,500,227.48870345000003,-25.736922836303712,0.04755859375,0.01114213615655899,0.36650344729423523,300.0,0.0067361635,-0.0030187333235517145,0.0002,0.6345070600509644
208896,102,190,1099,-0.0006615929305553436,0.2,505,226.10643805000004,-25.72870445251465,0.0376953125,0.011367573076859117,0.3664441406726837,300.0,0.004728577,-0.0031978524290025233,0.0002,0.6557568907737732
210944,103,192,1097,-0.002221269067376852,0.2,510,226.10643805000004,-25.713483619689942,0.03388671875,0.009776177071034908,0.36633747816085815,300.0,0.004381115,-0.0042780964984558524,0.0002,0.6232900619506836
212992,104,194,1095,-0.006375689059495926,0.2,515,226.91118570000003,-25.697867965698244,0.03603515625,0.005135374981909991,0.3662627339363098,300.0,0.0022575422,-0.002166693448089063,0.0002,0.5312221646308899
215040,105,197,1090,-0.0021836471278220415,0.2,520,225.99136720000007,-25.68363094329834,0.03994140625,0.00719006760045886,0.3661690056324005,300.0,0.004568494,-0.0030100114876404406,0.0002,0.6397928595542908
217088,106,199,1089,-0.0020741019397974014,0.2,525,225.86795356000002,-25.670588970184326,0.04013671875,0.005239295330829919,0.3661096692085266,300.0,0.0057844827,-0.005037859780713916,0.0002,0.5769069194793701
219136,107,201,1089,0.0063751935958862305,0.2,530,226.44650066000003,-25.65830020904541,0.0759765625,0.006295738089829683,0.3660258948802948,300.0,0.007918291,-0.0032740669907070697,0.0002,0.4616377353668213
221184,108,202,1090,-0.0014519162941724062,0.2,535,226.18482193,-25.640903854370116,0.04501953125,0.006388173461891711,0.36588504910469055,300.0,0.004197182,-0.0022100862581282852,0.0002,0.5925018787384033
223232,109,204,1090,-0.007327312603592873,0.2,540,226.94599025000002,-25.622603702545167,0.06455078125,0.006905616144649684,0.36585450172424316,300.0,0.0066198343,-0.005602388782426715,0.0002,0.577576756477356
225280,110,206,1089,-0.004684539511799812,0.2,545,226.94599025000002,-25.627015781402587,0.03271484375,0.010326923057436942,0.3659183382987976,300.0,0.0050046053,-0.0028953772271052003,0.0002,0.4213058352470398
227328,111,208,1089,-0.01053927093744278,0.2,550,226.32633468,-25.62336254119873,0.05517578125,0.008238700567744672,0.3657756447792053,300.0,0.005358879,-0.004317157086916268,0.0002,0.572286069393158
229376,112,210,1089,-0.0008969544433057308,0.2,555,226.93485086,-25.597858428955078,0.0341796875,0.00854349029250443,0.3656584322452545,300.0,0.006375811,-0.002359428629279137,0.0002,0.6560611724853516
231424,113,212,1090,-0.004018508363515139,0.2,560,226.89564512999996,-25.585154056549072,0.08115234375,0.007417890639044344,0.36563000082969666,300.0,0.007648511,-0.005340031860396266,0.0002,0.6297745704650879
233472,114,214,1090,-0.005016964394599199,0.2,565,226.99375928999999,-25.582661437988282,0.06298828125,0.0076569005148485305,0.3656160533428192,300.0,0.003380155,-0.004339170921593904,0.0002,0.6501343250274658
235520,115,215,1090,-0.010090233758091927,0.2,570,226.47806288000004,-25.576280975341795,0.03984375,0.008115407754667103,0.3655271828174591,300.0,0.0042338874,-0.004180104983970523,0.0002,0.6215640306472778
237568,116,217,1090,0.01312766969203949,0.2,575,226.47806288000004,-25.562833309173584,0.06865234375,0.005661615822464228,0.3655168116092682,300.0,0.011969187,-0.0011159038753248752,0.0002,0.6640629768371582
239616,117,219,1090,0.0025042500346899033,0.2,580,228.19049971000004,-25.568993854522706,0.0564453125,0.007955954736098647,0.3655563294887543,300.0,0.004726085,-0.00423141501378268,0.0002,0.5538409352302551
