time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/clip_range,train/std
92,1102,170,188416,-0.2966143786907196,-1.679235137999058e-05,-29.253420448303224,0.012449238,0.5653661489486694,222.45477590000002,0.08330078125,455,300.0,0.0002,0.005191092216409743,0.2,0.38800492882728577
93,1102,172,190464,-0.2944315969944,-0.0026267459616065025,-29.2795521736145,0.0032004598,0.4385591149330139,223.09647484,0.03720703125,460,300.0,0.0002,0.007320722937583924,0.2,0.38819462060928345
94,1102,174,192512,-0.2972671091556549,-0.005074397689895704,-29.30855264663696,0.0046297703,0.5729475021362305,222.34392287999995,0.03515625,465,300.0,0.0002,0.007183177606202662,0.2,0.3883528411388397
95,1103,176,194560,-0.30448898673057556,-0.0036739895935170353,-29.33825922012329,0.009651485,0.5799050331115723,224.30831487999995,0.06201171875,470,300.0,0.0002,0.006749699963256717,0.2,0.3885760009288788
96,1100,178,196608,-0.29516762495040894,-0.003032047161832452,-29.370782947540285,0.0042892527,0.6428146362304688,224.30831487999995,0.050390625,475,300.0,0.0002,0.006487209326587617,0.2,0.38874056935310364
97,1100,180,198656,-0.30226022005081177,-0.003138268366456032,-29.40121259689331,0.0024779607,0.5821354389190674,223.13096088999998,0.03037109375,480,300.0,0.0002,0.010175625467672944,0.2,0.388980895280838
98,1100,182,200704,-0.3018171191215515,-0.0036213389365002515,-29.440746593475343,0.0063161454,0.6491929292678833,224.69328391,0.05849609375,485,300.0,0.0002,0.0040199464070610706,0.2,0.389202743768692
99,1097,184,202752,-0.30728763341903687,-0.005159831955097616,-29.47055606842041,0.009364747,0.5688230991363525,224.98391897000002,0.08349609375,490,300.0,0.0002,0.005484073725529015,0.2,0.38937216997146606
100,1098,186,204800,-0.2948920726776123,-0.003834045655094087,-29.49378185272217,0.0036395849,0.5818709135055542,225.54402438,0.02783203125,495,300.0,0.0002,0.008733230782672763,0.2,0.3894931375980377
101,1098,188,206848,-0.29544270038604736,-0.0029823831631802023,-29.51802005767822,0.0055746827,0.6420924663543701,225.76714574999997,0.03173828125,500,300.0,0.0002,0.010824356181547045,0.2,0.38971343636512756
102,1099,190,208896,-0.29611799120903015,-0.00270840332377702,-29.555231761932372,0.0036002332,0.6650755405426025,224.37460369000004,0.02783203125,505,300.0,0.0002,0.010743510164320468,0.2,0.3899175524711609
103,1097,192,210944,-0.2978192865848541,-0.0040623385808430616,-29.582369232177733,0.005752991,0.6283714771270752,224.37460369000004,0.03828125,510,300.0,0.0002,0.009853554703295232,0.2,0.390076220035553
104,1095,194,212992,-0.30129504203796387,-0.0016260540578514338,-29.606846427917482,0.0020540846,0.532586932182312,225.15662439000005,0.0328125,515,300.0,0.0002,0.004949614522047341,0.2,0.39021041989326477
105,1091,197,215040,-0.2972290813922882,-0.0033556130598299204,-29.629634380340576,0.005021683,0.647114634513855,224.22953604999998,0.042578125,520,300.0,0.0002,0.007112948410212994,0.2,0.3903699815273285
106,1089,199,217088,-0.2986263632774353,-0.00555651169270277,-29.65628089904785,0.00925429,0.5750433206558228,224.08261661999998,0.0705078125,525,300.0,0.0002,0.005094059277325869,0.2,0.3905564844608307
107,1090,201,219136,-0.2965911328792572,-0.0037676661740988493,-29.683624458312988,0.005504407,0.4580523371696472,224.67183922999996,0.05966796875,530,300.0,0.0002,0.00622434513643384,0.2,0.3907076120376587
108,1090,202,221184,-0.2914195656776428,-0.0015353479655459523,-29.703061866760255,0.0055958834,0.5900440812110901,224.40944515000004,0.0712890625,535,300.0,0.0002,0.005991522246040404,0.2,0.39078423380851746
109,1090,204,223232,-0.3014240562915802,-0.004300193721428513,-29.721657752990723,0.0072377403,0.5845606327056885,225.16064836999993,0.074609375,540,300.0,0.0002,0.006911683920770883,0.2,0.3909784257411957
110,1090,206,225280,-0.29713916778564453,-0.0024773536249995233,-29.7615686416626,0.0030792048,0.448380708694458,225.16064836999993,0.0328125,545,300.0,0.0002,0.010473647946491837,0.2,0.39127442240715027
111,1090,208,227328,-0.3052084445953369,-0.00401736693456769,-29.79497880935669,0.006861511,0.5847405195236206,224.54102084,0.048828125,550,300.0,0.0002,0.009183012484572827,0.2,0.39135637879371643
112,1090,210,229376,-0.30331090092658997,-0.002990326553117484,-29.804287433624268,0.005053621,0.6626571416854858,225.13653895999997,0.02666015625,555,300.0,0.0002,0.008555830153636635,0.2,0.39143770933151245
113,1090,212,231424,-0.30004194378852844,-0.005902232648804784,-29.823494625091552,0.009321118,0.6135709881782532,225.07569911,0.08408203125,560,300.0,0.0002,0.00730050248093903,0.2,0.3916107714176178
114,1090,214,233472,-0.3052929639816284,-0.004328498430550098,-29.853082752227785,0.0046896776,0.6502467393875122,225.16104449000002,0.05986328125,565,300.0,0.0002,0.007587808184325695,0.2,0.39179709553718567
115,1091,215,235520,-0.30934250354766846,-0.0038896902464330197,-29.879827213287353,0.004094991,0.6202898025512695,224.62197110999998,0.03994140625,570,300.0,0.0002,0.00800558680202812,0.2,0.3919212520122528
116,1091,217,237568,-0.29234904050827026,-0.0016631616512313486,-29.90283622741699,0.014262665,0.6572380065917969,224.62197110999998,0.077734375,575,300.0,0.0002,0.00546904094517231,0.2,0.39213013648986816
117,1090,219,239616,-0.292957603931427,-0.0040961302584037185,-29.941004085540772,0.0063671423,0.5400193929672241,226.31500482999996,0.06015625,580,300.0,0.0002,0.007746722246520221,0.2,0.3923821747303009
118,1089,221,241664,-0.30462464690208435,-0.0024271178408525884,-29.976436424255372,0.0028084063,0.6421347856521606,226.91499599000005,0.0166015625,585,300.0,0.0002,0.006414791406132281,0.2,0.3925781846046448
119,1088,223,243712,-0.30745038390159607,-0.004162630112841725,-30.003448677062988,0.005824318,0.5311869382858276,226.88898150999998,0.05634765625,590,300.0,0.0002,0.005820322944782674,0.2,0.39271780848503113
120,1087,225,245760,-0.3078850507736206,-0.001641011133324355,-30.02735996246338,0.005357679,0.5298563241958618,226.25651999000002,0.03369140625,595,300.0,0.0002,0.006874994118697941,0.2,0.3928932249546051
121,1088,227,247808,-0.3077320158481598,-0.0033619193010963498,-30.058600997924806,0.0067300685,0.548637866973877,225.57711304,0.03759765625,600,300.0,0.0002,0.0057307512033730745,0.2,0.3931322395801544
122,1088,229,249856,-0.31221261620521545,-0.004301522532477975,-30.09376926422119,0.003696076,0.5436714291572571,225.56441027,0.04375,605,300.0,0.0002,0.005922027514316142,0.2,0.39331063628196716
123,1089,231,251904,-0.3096902072429657,-0.004117632331326604,-30.11820468902588,0.008806033,0.5202696919441223,225.56441027,0.11396484375,610,300.0,0.0002,0.004938663612119853,0.2,0.39344272017478943
124,1089,233,253952,-0.30757173895835876,-0.0036800251342356204,-30.144593143463133,0.003994152,0.5891363620758057,225.58878711999998,0.03994140625,615,300.0,0.0002,0.005128750624135136,0.2,0.39367902278900146
125,1089,234,256000,-0.3028126060962677,-0.005113561428152025,-30.18139762878418,0.008734748,0.5278089046478271,225.75319591,0.05859375,620,300.0,0.0002,0.006793693359941244,0.2,0.39388805627822876
126,1088,236,258048,-0.30794230103492737,-0.005105716083198786,-30.21536989212036,0.0065265656,0.5556739568710327,225.69545151,0.09638671875,625,300.0,0.0002,0.005946525628678501,0.2,0.394121915102005
127,1086,239,260096,-0.30974385142326355,-0.002287505706772208,-30.25394344329834,0.0050111376,0.5901808738708496,224.34822296,0.0552734375,630,300.0,0.0002,0.007871416467241942,0.2,0.3943984806537628
128,1084,241,262144,-0.31377995014190674,-0.0017190173966810107,-30.294946002960206,0.010616043,0.5924961566925049,223.43988936000002,0.1201171875,635,300.0,0.0002,0.010857460647821426,0.2,0.3946196734905243
129,1083,243,264192,-0.3118279278278351,-0.005701495660468936,-30.326467514038086,0.0066943797,0.5487598180770874,223.41483178000001,0.1140625,640,300.0,0.0002,0.008939407207071782,0.2,0.3947915732860565
130,1082,245,266240,-0.31202977895736694,-0.006122341193258762,-30.35705738067627,0.010828537,0.5699986219406128,223.41483178000001,0.06796875,645,300.0,0.0002,0.005802935105748475,0.2,0.39505189657211304
131,1081,248,268288,-0.3047356903553009,-0.004271588940173388,-30.39700412750244,0.0058168243,0.5351762771606445,222.81767566,0.08349609375,650,300.0,0.0002,0.006663660402409732,0.2,0.3952617049217224
